time,cellv,dt,soc,soe,soet
1e-06,3.4114356954937,1e-06,0.5,0.087489099799085,0.087489099862716
1.5e-06,3.4114272572201,5e-07,0.5,0.087489099698681,0.087489099794039
2e-06,3.411427254827,5e-07,0.5,0.087489099598278,0.087489099725362
2.6e-06,3.4114272519554,6e-07,0.5,0.087489099477794,0.087489099642949
3.32e-06,3.4114272485094,7.2e-07,0.5,0.087489099333214,0.087489099544054
4.184e-06,3.4114272443742,8.64e-07,0.5,0.087489099159717,0.087489099425379
5.2208e-06,3.411427239412,1.0368e-06,0.5,0.08748909895152,0.087489099282969
6.46496e-06,3.4114272334573,1.24416e-06,0.5,0.087489098701684,0.087489099112078
7.957952e-06,3.4114272263118,1.492992e-06,0.5,0.087489098401879,0.087489098907006
9.7495424e-06,3.4114272177372,1.7915904e-06,0.5,0.087489098042114,0.087489098660922
1.189945088e-05,3.4114272074478,2.14990848e-06,0.5,0.087489097610394,0.087489098365618
1.4479341056e-05,3.4114271951006,2.579890176e-06,0.5,0.087489097092329,0.087489098011254
1.75752092672e-05,3.4114271802841,3.0958682112e-06,0.5,0.087489096470649,0.087489097586016
2.129025112064e-05,3.4114271625044,3.71504185344e-06,0.5,0.08748909572463,0.087489097075728
2.5748301344768e-05,3.4114271411692,4.458050224128e-06,0.5,0.087489094829403,0.087489096463379
3.1097961613722e-05,3.4114271155672,5.3496602689536e-06,0.5,0.087489093755124,0.087489095728555
3.7517553936466e-05,3.4114270848455,6.4195923227443e-06,0.5,0.08748909246598,0.087489094846761
4.5221064723759e-05,3.4114270479803,7.7035107872932e-06,0.5,0.087489090918997,0.087489093788601
5.4465277668511e-05,3.4114270037432,9.2442129447518e-06,0.5,0.087489089062598,0.087489092518796
6.5558333202213e-05,3.4114269506605,1.1093055533702e-05,0.5,0.087489086834891,0.08748909099501
7.8869999842656e-05,3.4114268869638,1.3311666640443e-05,0.5,0.087489084161607,0.087489089166443
9.4843999811187e-05,3.4114268105313,1.5973999968531e-05,0.5,0.087489080953611,0.087489086972125
0.00011401279977342,3.4114267188176,1.9168799962237e-05,0.5,0.087489077103937,0.087489084338889
0.00013701535972811,3.4114266087686,2.3002559954685e-05,0.5,0.087489072484217,0.08748908117893
0.00016461843167373,3.4114264767207,2.7603071945622e-05,0.5,0.08748906694039,0.087489077386868
0.00019774211800848,3.4114263182788,3.3123686334746e-05,0.5,0.087489060287563,0.087489072836234
0.00023749054161017,3.4114261281709,3.9748423601695e-05,0.5,0.087489052303836,0.087489067375242
0.00028518864993221,3.4114259000738,4.7698108322034e-05,0.5,0.087489042722878,0.087489060821721
0.00034242637991865,3.4114256264037,5.7237729986441e-05,0.5,0.087489031225032,0.087489052957019
0.00041111165590238,3.4114252980665,6.868527598373e-05,0.5,0.087489017426612,0.08748904351869
0.00049353398708285,3.411424904158,8.2422331180476e-05,0.5,0.087489000867065,0.087489032191707
0.00059244078449942,3.4114244316063,9.8906797416571e-05,0.5,0.087488980993528,0.087489018597905
0.00071112894139931,3.4114238647433,0.00011868815689988,0.5,0.08748895714229,0.087489002283294
0.00085355472967917,3.4114231847941,0.00014242578827986,0.5,0.087488928516497,0.087488982702816
0.001024465675615,3.4114223692664,0.00017091094593583,0.5,0.08748889415935,0.087488959202003
0.001229558810738,3.4114213912246,0.000205093135123,0.5,0.087488852921856,0.087488930994929
0.0014756705728856,3.4114202184238,0.0002461117621476,0.5,0.08748880342404,0.087488897137668
0.0017710046874627,3.4114188122824,0.00029533411457712,0.5,0.087488744008219,0.087488856496341
0.0021254056249553,3.4114171266627,0.00035440093749255,0.5,0.08748867268272,0.087488807708613
0.0025506867499463,3.4114151064283,0.00042528112499105,0.5,0.087488587054018,0.087488749137275
0.0030610240999356,3.4114126857421,0.00051033734998927,0.5,0.087488484244836,0.087488678814228
0.0036734289199227,3.4114097860649,0.00061240481998712,0.5,0.08748836079522,0.087488594372809
0.0044083147039073,3.41140631381,0.00073488578398454,0.5,0.087488212542892,0.087488492965957
0.0052901776446887,3.4114021576102,0.00088186294078145,0.5,0.087488034478366,0.087488371167106
0.0063484131736264,3.4113971851492,0.0010582355289377,0.5,0.087487820569222,0.087488224849991
0.0076182958083517,3.4113912395128,0.0012698826347253,0.5,0.087487563546642,0.087488049042629
0.0091421549700221,3.4113841350232,0.0015238591616703,0.5,0.087487254645614,0.087487837749618
0.010970785964026,3.4113756525291,0.0018286309940044,0.5,0.087486883288145,0.087487583735449
0.013165143156832,3.4113655341456,0.0021943571928053,0.5,0.087486436696228,0.08748727825977
0.015798371788198,3.4113534774672,0.0026332286313664,0.5,0.087485899418082,0.087486910753329
0.018958246145838,3.4113391293253,0.0031598743576396,0.5,0.087485252747244,0.087486468420619
0.022750095375005,3.4113220792222,0.0037918492291676,0.5,0.08748447400936,0.087485935752036
0.027300314450006,3.4113018526635,0.0045502190750011,0.5,0.087483535686033,0.087485293924579
0.032760577340008,3.4112779047325,0.0054602628900013,0.5,0.087482404338949,0.087484520065929
0.039312892808009,3.4112496144066,0.0065523154680015,0.5,0.087481039291237,0.087483586352487
0.047175671369611,3.4112162803184,0.0078627785616018,0.5,0.087479391017419,0.087482458908072
0.056611005643533,3.4111771189105,0.0094353342739222,0.5,0.087477399189956,0.087481096467727
0.06793340677224,3.4111312662086,0.011322401128707,0.5,0.087474990331669,0.087479448771942
0.081520288126688,3.4110777847089,0.013586881354448,0.5,0.087472075032765,0.087477454663056
0.097824545752025,3.4110156771065,0.016304257625338,0.5,0.087468544713724,0.087475039871021
0.11738965490243,3.4109439087116,0.019565109150405,0.5,0.08746426795707,0.087472114504281
0.14086778588292,3.4108614403818,0.023478130980486,0.5,0.08745908649931,0.087468570308196
0.1690415430595,3.4107672736499,0.028173757176583,0.5,0.087452811076089,0.08746427782306
0.2028500516714,3.4106605094949,0.0338085086119,0.5,0.087445217453813,0.087459083669679
